Delivery_person_Age,Delivery_person_Ratings,Weatherconditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Day_of_Week
37.0,4.9, Sunny,High ,2,Snack ,motorcycle ,0,No ,Urban ,Saturday
34.0,4.5, Stormy,Jam ,2,Snack ,scooter ,1,No ,Metropolitian ,Friday
23.0,4.4, Sandstorms,Low ,0,Drinks ,motorcycle ,1,No ,Urban ,Saturday
38.0,4.7, Sunny,Medium ,0,Buffet ,motorcycle ,1,No ,Metropolitian ,Tuesday
32.0,4.6, Cloudy,High ,1,Snack ,scooter ,1,No ,Metropolitian ,Saturday
22.0,4.8, Cloudy,Jam ,0,Buffet ,motorcycle ,1,No ,Urban ,Friday
33.0,4.7, Fog,Jam ,1,Meal ,scooter ,1,No ,Metropolitian ,Friday
35.0,4.6, Cloudy,Medium ,2,Meal ,motorcycle ,1,No ,Metropolitian ,Monday
22.0,4.8, Stormy,Jam ,0,Buffet ,motorcycle ,1,No ,Metropolitian ,Sunday
36.0,4.2, Fog,Jam ,2,Snack ,motorcycle ,3,No ,Metropolitian ,Saturday
21.0,4.7, Stormy,High ,1,Meal ,motorcycle ,1,No ,Metropolitian ,Sunday
23.0,4.7, Sandstorms,Medium ,1,Drinks ,scooter ,1,No ,Metropolitian ,Friday
34.0,4.3, Sandstorms,Low ,0,Buffet ,motorcycle ,0,No ,Metropolitian ,Sunday
24.0,4.7, Fog,Jam ,1,Snack ,scooter ,1,No ,Metropolitian ,Monday
29.0,4.5, Sandstorms,Jam ,2,Buffet ,electric_scooter ,1,No ,Metropolitian ,Saturday
35.0,4.0, Windy,High ,1,Meal ,scooter ,1,No ,Metropolitian ,Tuesday
33.0,4.2, Sandstorms,Jam ,2,Snack ,motorcycle ,1,No ,Metropolitian ,Wednesday
34.0,4.9, Cloudy,Jam ,0,Snack ,motorcycle ,4,No ,Metropolitian ,Sunday
21.0,4.7, Windy,Jam ,0,Meal ,motorcycle ,1,No ,Urban ,Tuesday
25.0,4.1, Sandstorms,Jam ,0,Snack ,motorcycle ,2,No ,Metropolitian ,Wednesday
31.0,4.7, Sandstorms,Low ,2,Meal ,electric_scooter ,0,No ,Metropolitian ,Thursday
37.0,5.0, Sandstorms,Low ,1,Snack ,motorcycle ,1,No ,Metropolitian ,Friday
33.0,4.3, Windy,Jam ,2,Meal ,scooter ,1,No ,Metropolitian ,Sunday
25.0,4.0, Cloudy,High ,1,Buffet ,motorcycle ,1,No ,Metropolitian ,Saturday
29.0,4.5, Sunny,Medium ,2,Meal ,electric_scooter ,1,No ,Metropolitian ,Sunday
27.0,5.0, Stormy,Jam ,0,Snack ,motorcycle ,0,No ,Urban ,Tuesday
35.0,4.3, Cloudy,Low ,1,Drinks ,scooter ,0,No ,Metropolitian ,Saturday
32.0,4.0, Windy,Jam ,0,Buffet ,motorcycle ,1,No ,Metropolitian ,Wednesday
23.0,4.8, Windy,Low ,2,Buffet ,electric_scooter ,0,No ,Urban ,Saturday
31.0,4.8, Sandstorms,Low ,2,Drinks ,motorcycle ,1,No ,Metropolitian ,Friday
36.0,4.1, Stormy,Low ,0,Drinks ,motorcycle ,1,No ,Urban ,Saturday
